ID,Original Text,Tiny Tokens,Tiny Output,Kuromoji Tokens,Kuromoji Output,Difference
1,"みなさん こんにちは なおこです",8,"みなさん |   | こん | にち | は |   | なおこ | です",6,"みなさん |   | こんにちは |   | なおこ | です",2
2,"みなさん きのうは なにをしましたか?",13,"みなさん |   | き | のう | は |   | なに | を | し | まし | た | か | ?",12,"みなさん |   | きのう | は |   | なに | を | し | まし | た | か | ?",1
3,"きょうは きのうしたことについて はなします",13,"きょう | は |   | き | のう | し | た | こと | について |   | は | なし | ます",11,"きょう | は |   | きのう | し | た | こと | について |   | はなし | ます",2
4,"どれくらい りかいできるか チャレンジです",8,"どれくらい |   | りかい | できる | か |   | チャレンジ | です",10,"どれ | くらい |   | り | かい | できる | か |   | チャレンジ | です",-2
5,"どうぞ",1,"どうぞ",1,"どうぞ",0
6,"わたしは きのう あさ 8じくらいに おきて",12,"わたし | は |   | きのう |   | あさ |   | 8 | じくらい | に |   | おきて",15,"わたし | は |   | きのう |   | あ | さ |   | 8 | じ | くらい | に |   | おき | て",-3
7,"かおを あらって はを みがきました",11,"かお | を |   | あらって |   | は | を |   | みがき | まし | た",12,"かお | を |   | あらっ | て |   | は | を |   | みがき | まし | た",-1
8,"そして メイクをして きがえました",10,"そして |   | メイク | を | して |   | き | がえ | まし | た",10,"そして |   | メイク | を | し | て |   | きがえ | まし | た",0
9,"そして おみずを いっぱい のみました",10,"そして |   | おみず | を |   | いっぱい |   | のみ | まし | た",12,"そして |   | お | み | ず | を |   | いっぱい |   | のみ | まし | た",-2
10,"わたしは ふだん あさごはんを ぜんぜん たべません",13,"わたし | は |   | ふだん |   | あさご | はん | を |   | ぜんぜん |   | たべませ | ん",15,"わたし | は |   | ふだん |   | あ | さ | ごはん | を |   | ぜんぜん |   | たべ | ませ | ん",-2
11,"こうこうせいのときは よく あさごはんを たべていました",18,"こう | こう | せい | の | とき | は |   | よく |   | あさご | はん | を |   | たべ | て | い | まし | た",18,"こう | こうせい | の | とき | は |   | よく |   | あ | さ | ごはん | を |   | たべ | て | い | まし | た",0
12,"たとえば みそしるとか ごはんとか ぱん",12,"た | とえば |   | みそしる | とか |   | ご | はん | と | か |   | ぱん",10,"たとえば |   | みそ | しる | とか |   | ごはん | とか |   | ぱん",2
13,"そして まえのひの よるごはんに たべた のこり",16,"そして |   | まえ | の | ひ | の |   | よる | ご | はん | に |   | たべた |   | の | こり",15,"そして |   | まえ | の | ひ | の |   | よる | ごはん | に |   | たべ | た |   | のこり",1
14,"のこりものを よく たべていました",12,"の | こり | もの | を |   | よく |   | たべ | て | い | まし | た",11,"のこり | もの | を |   | よく |   | たべ | て | い | まし | た",1
15,"のこりものです",4,"の | こり | もの | です",3,"のこり | もの | です",1
16,"でも さいきんは ぜんぜん あさごはんを たべません",13,"でも |   | さいきん | は |   | ぜんぜん |   | あさご | はん | を |   | たべませ | ん",16,"でも |   | さいき | ん | は |   | ぜんぜん |   | あ | さ | ごはん | を |   | たべ | ませ | ん",-3
17,"そして せんたくをして せんたくものを ほしました",15,"そして |   | せん | たく | を | し | て |   | せんたく | もの | を |   | ほし | まし | た",16,"そして |   | せん | たく | を | し | て |   | せん | たく | もの | を |   | ほし | まし | た",-1
18,"そして あさの 9じくらいに",7,"そして |   | あさの |   | 9 | じくらい | に",8,"そして |   | あさの |   | 9 | じ | くらい | に",-1
19,"わたしの しんせきの はたけに いきました",13,"わたし | の |   | しんせき | の |   | は | たけ | に |   | いき | まし | た",13,"わたし | の |   | しん | せき | の |   | はたけ | に |   | いき | まし | た",0
20,"ごぜんちゅうは はたけで すこし はたらきました",13,"ごぜんちゅう | は |   | は | たけ | で |   | すこし |   | は | たらき | まし | た",12,"ご | ぜんち | ゅうは |   | はたけ | で |   | すこし |   | はたらき | まし | た",1
21,"ビーツの たねを まきました",9,"ビーツ | の |   | たね | を |   | まき | まし | た",9,"ビーツ | の |   | たね | を |   | まき | まし | た",0
22,"ビーツは あかいやさいですね",6,"ビーツ | は |   | あかいやさい | です | ね",7,"ビーツ | は |   | あかい | やさい | です | ね",-1
23,"たくさん たねを まいたので たべるのが たのしみです",18,"たく | さん |   | たね | を |   | まい | た | の | で |   | たべる | の | が |   | た | のしみ | です",15,"たくさん |   | たね | を |   | まい | た | ので |   | たべる | の | が |   | たのしみ | です",3
24,"そして おひるは いえに かえりました",11,"そして |   | おひる | は |   | いえ | に |   | かえり | まし | た",12,"そして |   | お | ひる | は |   | いえ | に |   | かえり | まし | た",-1
25,"いえに かえって おひるごはんを たべました",14,"いえ | に |   | かえっ | て |   | おひる | ご | はん | を |   | たべ | まし | た",13,"いえ | に |   | かえって |   | お | ひる | ごはん | を |   | たべ | まし | た",1
26,"きのうは なにを たべたかな",10,"き | のう | は |   | なに | を |   | たべ | たか | な",10,"きのう | は |   | なに | を |   | たべ | た | か | な",0
27,"あ パスタ パスタです",6,"あ |   | パスタ |   | パスタ | です",6,"あ |   | パスタ |   | パスタ | です",0
28,"トマトソースと アンチョビと チーズのパスタを つくりました",14,"トマトソース | と |   | アンチョビ | と |   | チーズ | の | パスタ | を |   | つくり | まし | た",15,"トマト | ソース | と |   | アンチョビ | と |   | チーズ | の | パスタ | を |   | つくり | まし | た",-1
29,"しりあいが いえにきたので たくさん つくりました",15,"しり | あい | が |   | いえ | にき | た | の | で |   | たくさん |   | つくり | まし | た",14,"しりあい | が |   | いえ | に | き | た | ので |   | たくさん |   | つくり | まし | た",1
30,"トマトソースと チーズと アンチョビ",7,"トマトソース | と |   | チーズ | と |   | アンチョビ",8,"トマト | ソース | と |   | チーズ | と |   | アンチョビ",-1
31,"この くみあわせは さいこうです",7,"この |   | くみあわせ | は |   | さいこう | です",9,"この |   | くみあわせ | は |   | さ | いこ | う | です",-2
32,"ほんとに おいしい",4,"ほんと | に |   | おいしい",3,"ほんとに |   | おいしい",1
33,"そして ごはんを たべたあと カフェに いきました",16,"そして |   | ご | はん | を |   | たべ | た | あと |   | カフェ | に |   | いき | まし | た",15,"そして |   | ごはん | を |   | たべ | た | あと |   | カフェ | に |   | いき | まし | た",1
34,"くるまで カフェに いきました",9,"くる | まで |   | カフェ | に |   | いき | まし | た",9,"くる | まで |   | カフェ | に |   | いき | まし | た",0
35,"みなさんは くるまを うんてんするのは すきですか",16,"みなさん | は |   | くるま | を |   | うん | て | ん | する | の | は |   | すき | です | か",15,"みなさん | は |   | くるま | を |   | うん | てん | する | の | は |   | すき | です | か",1
36,"わたしは あまり すきじゃなかったです",9,"わたし | は |   | あまり |   | すきじゃ | なかっ | た | です",10,"わたし | は |   | あまり |   | すき | じゃ | なかっ | た | です",-1
37,"でんしゃに のるほうが すきでした",9,"でんしゃ | に |   | のる | ほう | が |   | すきでし | た",11,"でん | しゃ | に |   | の | るほう | が |   | すき | でし | た",-2
38,"でも さいきんは くるまを うんてんするのも すきです",17,"でも |   | さいきん | は |   | くるま | を |   | うん | て | ん | する | の | も |   | すき | です",17,"でも |   | さいき | ん | は |   | くるま | を |   | うん | てん | する | の | も |   | すき | です",0
39,"そう ごごは カフェで こうひを のみながら",12,"そう |   | ごごは |   | カフェ | で |   | こうひ | を |   | のみ | ながら",15,"そう |   | ご | ご | は |   | カフェ | で |   | こう | ひ | を |   | のみ | ながら",-3
40,"にほんごと スペイン語の べんきょうを しました",12,"にほんご | と |   | スペイン | 語 | の |   | べんきょう | を |   | しまし | た",16,"に | ほん | ごと |   | スペイン | 語 | の |   | べ | ん | きょう | を |   | し | まし | た",-4
41,"そう にほんごです",4,"そう |   | にほんご | です",6,"そう |   | に | ほん | ご | です",-2
42,"にほんじんだけど さいきん にほんごが むずかしいなと おもって",13,"に | ほんじん | だけど |   | さいきん |   | にほんご | が |   | むずかしい | なと |   | おもって",20,"に | ほん | じん | だ | けど |   | さいき | ん |   | に | ほん | ご | が |   | むずかしい | な | と |   | おもっ | て",-7
43,"にほんごを べんきょうしています",8,"にほんご | を |   | べんきょう | し | て | い | ます",12,"に | ほん | ご | を |   | べ | ん | きょう | し | て | い | ます",-4
44,"むずかしい",1,"むずかしい",1,"むずかしい",0
45,"そして いえに かえるまえに スーパーに いきました",15,"そして |   | いえ | に |   | かえる | まえ | に |   | スーパー | に |   | いき | まし | た",15,"そして |   | いえ | に |   | かえる | まえ | に |   | スーパー | に |   | いき | まし | た",0
46,"ゆうがたの 5じ くらいかな",10,"ゆう | が | た | の |   | 5 | じ |   | くらいか | な",10,"ゆう | がた | の |   | 5 | じ |   | くらい | か | な",0
47,"ゆうがた スーパーに いくと",8,"ゆう | が | た |   | スーパー | に |   | いくと",8,"ゆう | がた |   | スーパー | に |   | いく | と",0
48,"はんがくの さしみとか からあげとか おにぎりが うられています",18,"はん | がく | の |   | さしみ | とか |   | から | あげ | とか |   | おにぎり | が |   | うられ | て | い | ます",20,"はん | がく | の |   | さ | しみ | とか |   | から | あげ | とか |   | おにぎり | が |   | うら | れ | て | い | ます",-2
49,"だけど きのうは なにも かいませんでした",14,"だけど |   | き | のう | は |   | なに | も |   | かいませ | ん | で | し | た",13,"だけど |   | きのう | は |   | なに | も |   | かい | ませ | ん | でし | た",1
50,"6じ くらいに いえに かえりました",11,"6じ |   | くらい | に |   | いえ | に |   | かえり | まし | た",12,"6 | じ |   | くらい | に |   | いえ | に |   | かえり | まし | た",-1
51,"そして よるごはんは ちくぜんに という",11,"そして |   | よる | ご | はん | は |   | ちくぜん | に |   | という",11,"そして |   | よる | ごはん | は |   | ちく | ぜん | に |   | という",0
52,"にほんの りょうりを たべました",9,"にほん | の |   | りょうり | を |   | たべ | まし | た",9,"に | ほんの |   | りょうり | を |   | たべ | まし | た",0
53,"これは にんじんとか れんこんとか とりにくが はいています",19,"これ | は |   | にんじん | と | か |   | れんこん | と | か |   | とり | にく | が |   | はい | て | い | ます",18,"これ | は |   | にんじん | とか |   | れん | こん | とか |   | とり | にく | が |   | はい | て | い | ます",1
54,"すこし あまい りょうりかな",5,"すこし |   | あまい |   | りょうりかな",7,"すこし |   | あまい |   | りょうり | か | な",-2
55,"おいしかったです",3,"おいしかっ | た | です",3,"おいしかっ | た | です",0
56,"そして よるごはんを たべたあと",10,"そして |   | よる | ご | はん | を |   | たべ | た | あと",9,"そして |   | よる | ごはん | を |   | たべ | た | あと",1
57,"おさらを あらったり おさらを ふいたり",10,"おさら | を |   | あらっ | たり |   | おさら | を |   | ふいたり",13,"お | さら | を |   | あらっ | たり |   | お | さら | を |   | ふい | たり",-3
58,"あと せんたくものを たたんだり しました",12,"あと |   | せんたく | もの | を |   | たたん | だり |   | し | まし | た",13,"あと |   | せん | たく | もの | を |   | たたん | だり |   | し | まし | た",-1
59,"かじを しました",5,"かじ | を |   | しまし | た",6,"かじ | を |   | し | まし | た",-1
60,"すこしだけ かじ",4,"すこし | だけ |   | かじ",4,"すこし | だけ |   | かじ",0
61,"そして そのあと",4,"そして |   | その | あと",4,"そして |   | その | あと",0
62,"YouTubeの へんしゅうをしたり",7,"YouTube | の |   | へんしゅう | を | し | たり",8,"YouTube | の |   | へん | しゅう | を | し | たり",-1
63,"ブログを かいたり しました",9,"ブログ | を |   | かい | たり |   | し | まし | た",9,"ブログ | を |   | かい | たり |   | し | まし | た",0
64,"で そのあと おふろに はいりました",11,"で |   | その | あと |   | おふろ | に |   | はいり | まし | た",12,"で |   | その | あと |   | お | ふろ | に |   | はいり | まし | た",-1
65,"しゃわを あびました",6,"しゃわ | を |   | あび | まし | た",6,"し | ゃわを |   | あび | まし | た",0
66,"もちろん はも みがけました",8,"もちろん |   | は | も |   | みがけ | まし | た",8,"もちろん |   | は | も |   | みがけ | まし | た",0
67,"そして だいたい よるの 11じくらいに",12,"そして |   | だい | たい |   | よる | の |   | 1 | 1 | じくらい | に",11,"そして |   | だいたい |   | よる | の |   | 11 | じ | くらい | に",1
68,"ベッドにはいって けいたいを みていました",13,"ベッド | に | はいって |   | けい | たい | を |   | み | て | い | まし | た",15,"ベッド | に | は | いっ | て |   | けい | たい | を |   | み | て | い | まし | た",-2
69,"1じかんくらい みていたかな",8,"1じ | かんくらい |   | み | て | い | たか | な",11,"1 | じ | かん | くらい |   | み | て | い | た | か | な",-3
70,"Netflixとか インスタとか ニュースとか YouTubeとか",15,"Netflix | と | か |   | インスタ | と | か |   | ニュース | と | か |   | YouTube | と | か",11,"Netflix | とか |   | インスタ | とか |   | ニュース | とか |   | YouTube | とか",4
71,"そして よるの 12じから 1じくらいのあいだに ねました",19,"そして |   | よる | の |   | 1 | 2 | じ | から |   | 1 | じくらい | の | あい | だ | に |   | ねまし | た",19,"そして |   | よる | の |   | 12 | じ | から |   | 1 | じ | くらい | の | あいだ | に |   | ね | まし | た",0
72,"いじょうです",2,"いじょう | です",2,"いじ | ょうです",0
73,"みなさん ききとれましたか",7,"みなさん |   | きき | とれ | まし | た | か",6,"みなさん |   | ききとれ | まし | た | か",1
74,"どれくらい わかりましたか",6,"どれくらい |   | わかり | まし | た | か",7,"どれ | くらい |   | わかり | まし | た | か",-1
75,"ぜんぶ わかったら すごいです",7,"ぜんぶ |   | わかっ | たら |   | すごい | です",7,"ぜんぶ |   | わかっ | たら |   | すごい | です",0
76,"おつかれさまでした",5,"おつかれ | さ | まで | し | た",6,"お | つかれ | さ | まで | し | た",-1
77,"さいごまで みてくれて ほんとうに ありがとうございます",15,"さい | ご | まで |   | みてくれ | て |   | ほんとう | に |   | あり | が | とう | ござい | ます",15,"さい | ごま | で |   | み | て | くれ | て |   | ほんとう | に |   | ありがとう | ござい | ます",0
78,"じゃ またね",3,"じゃ |   | またね",4,"じゃ |   | また | ね",-1